Class Name,Class Type,Available,Demand,Schedule
ARTS 1 WFZ-1,1,20,0,WF 5:30-7PM lec CAL 302
ARTS 1 WFZ-2,1,21,0,WF 5:30-7PM lec CAL 202
ARTS 1 WFZ-3,1,20,0,WF 5:30-7PM lec CAL 207
AS 201-A SAT7,1,10,0,S 1-4PM disc TBA
AS 201 TZ1,1,10,0,T 5-8PM lec TBA
AS 203 MZ2,1,10,0,M 5-8PM disc TBA
AS 207 SAT1,1,10,0,S 9AM-12PM disc TBA
AS 210 SAT5,1,10,0,S 9AM-12PM disc TBA
AS 211 SAT14,1,10,0,S 1-4PM disc TBA
AS 220 WZ2,1,10,0,W 5-8PM lec TBA
AS 230 SAT12,1,10,0,S 1-4PM disc TBA
AS 234 SAT10Political Economy of Pop Culture in East Asia,1,10,0,S 1-4PM disc TBA
"AS 234 SAT4Migration, aging and care work in East Asia",1,10,0,S 9AM-12PM disc TBA
AS 235.1 TZ,1,10,0,T 5-8PM res TBA
AS 235.2 SAT6,1,10,0,S 9AM-12PM disc TBA
AS 236.2 FZ3,1,10,0,F 5-8PM disc TBA
AS 237.2 MZ4,1,13,0,M 5-8PM res TBA
AS 250 MZ1,1,10,0,M 5-8PM disc TBA
AS 254 SAT2,1,10,0,S 9AM-12PM lec TBA
AS 255.1 TZ4,1,10,0,T 5-8PM disc TBA
AS 256 FZ1,1,10,0,F 5-8PM disc TBA
AS 264 SAT8,1,10,0,S 1-4PM disc TBA
AS 280 TZ2,1,10,0,T 5-8PM disc TBA
AS 282 TZ3,1,10,0,T 5-8PM lec TBA
AS 284 MZ3,1,10,0,M 5-8PM lec TBA
AS 298 ThZ1Gender & Sexuality in Asia,1,10,0,Th 5-8PM lec TBA
AS 299 SAT9,1,10,0,S 1-4PM disc TBA
Acctg 1 SRV,1,45,0,S 9AM-12PM lec BA 104
Acctg 1 WFU,1,25,0,WF 10-11:30AM lec TBA
Acctg 1 WFV,1,25,0,WF 11:30AM-1PM lec TBA
Anthro 10 THU,1,20,0,TTh 10-11:30AM lec TBA
Anthro 10 THV,1,20,0,TTh 11:30AM-1PM lec TBA
Anthro 10 WFX,1,24,0,WF 2:30-4PM lec TBA
Anthro 100 WFR,1,22,0,WF 8:30-10AM lec TBA
Anthro 112 THQ,1,20,0,TTh 7-8:30AM lec TBA
Anthro 112 THU,1,20,0,TTh 10-11:30AM lec TBA
Anthro 118 THR,1,22,0,TTh 8:30-10AM lec TBA
Anthro 118 THU,1,23,0,TTh 10-11:30AM lec TBA
Anthro 123 WFR,1,20,0,WF 8:30-10AM lec TBA
Anthro 123 WFU,1,20,0,WF 10-11:30AM lec TBA
Anthro 124 THU,1,20,0,TTh 10-11:30AM lec TBA
Anthro 133 THV,1,20,0,TTh 11:30AM-1PM lec TBA
Anthro 133 WFV,1,20,0,WF 11:30AM-1PM lec TBA
Anthro 151 WFW,1,20,0,WF 1-2:30PM lec TBA
Anthro 151 WFX,1,20,0,WF 2:30-4PM lec TBA
Anthro 161 THR,1,20,0,TTh 8:30-10AM lec TBA
Anthro 161 THU,1,20,0,TTh 10-11:30AM lec TBA
Anthro 167 THQ,1,20,0,TTh 7-8:30AM lec TBA
Anthro 167 THR,1,20,0,TTh 8:30-10AM lec TBA
Anthro 173 WFW,1,20,0,WF 1-2:30PM lec TBA
Anthro 173 WFX,1,20,0,WF 2:30-4PM lec TBA
Anthro 175 THX,1,20,0,TTh 2:30-4PM lec TBA
Anthro 175 WFY,1,20,0,WF 4-5:30PM lec TBA
Anthro 181 THV,1,20,0,TTh 11:30AM-1PM lec TBA
Anthro 181 WFU,1,20,0,WF 10-11:30AM lec TBA
Anthro 190 THW,1,14,0,TTh 1-2:30PM lec TBA
Anthro 190 THW-1,1,20,0,TTh 1-2:30PM lec TBA
Anthro 194 WFR,1,20,0,WF 8:30-10AM lec TBA
Anthro 194 WFU,1,20,0,WF 10-11:30AM lec TBA
Anthro 198 THUAnthropology of Globalization,1,20,0,TTh 10-11:30AM lec TBA
Anthro 202 MLNO,1,15,0,M 4-7PM lec TBA
Anthro 218 TNOP,1,15,0,T 5:30-8:30PM lec TBA
Anthro 223 SIJK1,1,15,0,S 1-4PM lec TBA
Anthro 225 SCDE,1,15,0,S 9AM-12PM lec TBA
Anthro 261 SIJKSeminar in Asian Traditions,1,15,0,S 1-4PM seminar TBA
Anthro 270 TLNO,1,15,0,T 4-7PM lec TBA
Anthro 282 WNOP1FOCUS: Psychological Anthropology,1,15,0,W 5-8PM lec TBA
Anthro 287 HLNO,1,15,0,Th 4-7PM lec TBA
Anthro 292 WNOP,1,15,0,W 5-8PM lec TBA
Anthro 297 WLNO,1,15,0,W 4-7PM lec TBA
Anthro 300 MCDE,1,10,0,M 9AM-12PM thesis TBA
Anthro 400 MIJK,1,10,0,M 1-4PM diss TBA
Anthropology 114 THR,1,20,0,TTh 8:30-10AM lec TBA
App Physics 157 WFY-FX-1,1,18,0,F 1-4PM lab CSRC; WF 4-5:30PM lec NIP F202
App Physics 157 WFY-FX-2,1,17,0,F 1-4PM lab CSRC; WF 4-5:30PM lec NIP F202
App Physics 157 WFY-WX-1,1,16,0,W 1-4PM lab CSRC; WF 4-5:30PM lec NIP F201
App Physics 157 WFY-WX-2,1,16,0,W 1-4PM lab CSRC; WF 4-5:30PM lec NIP F201
App Physics 181 THY-FX-1,1,15,0,F 1-4PM lab NIP R209; TTh 4-5:30PM lec NIP LP101
App Physics 181 THY-FX-2,1,15,0,F 1-4PM lab NIP R208; TTh 4-5:30PM lec NIP LP101
App Physics 181 THY-FX-3,1,15,0,F 1-4PM lab NIP R207; TTh 4-5:30PM lec NIP LP101
App Physics 181 THY-WX-1,1,15,0,W 1-4PM lab NIP F201; TTh 4-5:30PM lec NIP F201
App Physics 181 THY-WX-2,1,16,0,W 1-4PM lab NIP R209; TTh 4-5:30PM lec NIP F201
Arch 3 THBCDEG,1,20,0,T 8AM-12:30PM lab B1-Studio Lab 4; Th 8AM-12:30PM lab TBA
Arch 3 THBCDEG-1,1,20,0,T 8AM-12:30PM lab B1-Studio Lab 3; Th 8AM-12:30PM lab TBA
Arch 3 THBCDEG-2,1,21,0,T 8AM-12:30PM lab B1-Studio Lab 1; Th 8AM-12:30PM lab TBA
Arch 3 THBCDEG-3,1,21,0,T 8AM-12:30PM lab B1-Studio Lab 2; Th 8AM-12:30PM lab TBA
Arch 3 WFBCDEG,1,20,0,W 8AM-12:30PM lab B1-Studio Lab 2; F 8AM-12:30PM lab TBA
Arch 3 WFBCDEG-1,1,20,0,W 8AM-12:30PM lab B1-Studio Lab 1; F 8AM-12:30PM lab TBA
Arch 5 THDEG,1,21,0,Th 10AM-12:30PM lec B2-106; T 10AM-12:30PM lec TBA
Arch 5 THDEG-1,1,21,0,Th 10AM-12:30PM lec B2-105; T 10AM-12:30PM lec TBA
Arch 5 THUV,1,21,0,Th 10AM-12:30PM lec B2-105A; T 10AM-12:30PM lec TBA
Arch 5 THYZ,1,14,0,Th 4-6:30PM lec B2-104; T 4-6:30PM lec TBA
Arch 5 THYZQ,1,12,0,Th 4-6:30PM lec B2-103A; T 4-6:30PM lec TBA
Arch 16 FDE,1,22,0,W 10AM-12PM lec B2-106
Arch 16 WDE,1,21,0,W 10AM-12PM lec B2-106A
Arch 16 WDE-1,1,22,0,W 10AM-12PM lec B2-105A
Arch 16 WDE-2,1,22,0,W 10AM-12PM lec B2-105
Arch 18 FDE,1,16,0,F 10AM-12PM lec B2-105
Arch 18 FDE-1,1,16,0,F 10AM-12PM lec B2-106
Arch 18 FDE-2,1,16,0,F 10AM-12PM lec B2-105A
Arch 18 WDE,1,16,0,F 10AM-12PM lec B2-106A
Arch 20 THYZ,1,21,0,T 4:30-6:30PM lab B2-105; Th 4:30-6:30PM lab TBA
Arch 20 THYZ-1,1,21,0,T 4:30-6:30PM lab B2-105A; Th 4:30-6:30PM lab TBA
Arch 20 THYZ-2,1,21,0,T 4:30-6:30PM lab B2-106A; Th 4:30-6:30PM lab TBA
Arch 20 THYZ-3,1,21,0,T 4:30-6:30PM lab B2-106; Th 4:30-6:30PM lab TBA
Arch 20 WFYZ,1,15,0,W 4:30-6:30PM lab B2-103A; F 4:30-6:30PM lab TBA
Arch 20 WFYZ-1,1,17,0,W 4:30-6:30PM lab B2-104A; F 4:30-6:30PM lab TBA
Arch 20 WFYZQ,1,16,0,W 4:30-6:30PM lab B2-104; F 4:30-6:30PM lab TBA
Arch 22 WFYZQ,1,12,0,F 4:30-9PM lab B2-106A; W 4:30-9PM lab TBA
Arch 22 WFYZQ-1,1,12,0,F 4:30-9PM lab B2-105A; W 4:30-9PM lab TBA
Arch 22 WFYZQ-2,1,12,0,F 4:30-9PM lab B2-104A; W 4:30-9PM lab TBA
Arch 22 WFYZQ-3,1,12,0,F 4:30-9PM lab B2-105; W 4:30-9PM lab TBA
Arch 22 WFYZQ-4,1,12,0,F 4:30-9PM lab B2-106; W 4:30-9PM lab TBA
Arch 23 THWX,1,20,0,Th 1-3:30PM lab B2-106; T 1-3:30PM lab TBA
Arch 23 THWX-1,1,20,0,Th 1-3:30PM lab B2-106A; T 1-3:30PM lab TBA
Arch 23 THWX-2,1,20,0,Th 1-3:30PM lab B2-105A; T 1-3:30PM lab TBA
Arch 23 WFWX,1,15,0,F 2-4:30PM lab B2-106; W 2-4:30PM lab TBA
Arch 23 WFWX-1,1,15,0,W 2-4:30PM lab B2-106A; F 2-4:30PM lab TBA
Arch 32 THYZQ,1,12,0,Th 4:30-9PM lab B2-104A; T 4:30-9PM lab TBA
Arch 32 THYZQ-1,1,12,0,Th 4:30-9PM lab B2-105A; T 4:30-9PM lab TBA
Arch 32 THYZQ-2,1,12,0,Th 4:30-9PM lab B2-105; T 4:30-9PM lab TBA
Arch 32 THYZQ-3,1,12,0,Th 4:30-9PM lab B2-106; T 4:30-9PM lab TBA
Arch 32 THYZQ-4,1,12,0,Th 4:30-9PM lab B2-106A; T 4:30-9PM lab TBA
Arch 33 WFIJKL,1,21,0,F 1-5PM lec B1-Studio Lab 1; W 1-5PM lec TBA
Arch 33 WFIJKL-1,1,21,0,F 1-5PM lec B1-Studio Lab 2; W 1-5PM lec TBA
Arch 33 WFWXY,1,21,0,F 1-5PM lec B1-Studio Lab 3; W 1-5PM lec TBA
Arch 35 SGIJ,1,20,0,S 12-3PM lec B2-105
Arch 35 SKLN,1,20,0,S 3-6PM lec B2-105
Arch 35 WFU,1,20,0,S 12-3PM lec B2-105A
Arch 55 HDE,1,22,0,Th 10AM-12PM lec B2-106A
Arch 55 TDE,1,22,0,T 10AM-12PM lec B2-105A
Arch 55 TDE-1,1,22,0,W 10AM-12PM lec B2-107 CAD Lab
Arch 75 FKLN-1,1,21,0,F 3:30-5:30PM lec B2-103A
Arch 75 FNOP,1,20,0,F 5:30-7:30PM lec TBA
Arch 75 FNOP-1,1,22,0,F 5:30-7:30PM lec B2-103A
Arch 75 WNOP,1,20,0,W 5:30-7:30PM lec B2-102
Arch 134 SBCDEG,1,23,0,S 8AM-1PM lab B2-106A
Arch 134 SBCDEG-1,1,23,0,S 8AM-1PM lab B2-106
Arch 134 WFWX,1,23,0,W 1-3:30PM lab B2-106A; F 1-3:30PM lab TBA
Arch 142 WFYZQ,1,19,0,W 4:30-9:30PM lab B2-105; F 4:30-9:30PM lab TBA
Arch 142 WFYZQ-1,1,19,0,W 4:30-9:30PM lab B2-105A; F 4:30-9:30PM lab TBA
Arch 142 WFYZQ-2,1,19,0,W 4:30-9:30PM lab B2-106; F 4:30-9:30PM lab TBA
Arch 142 WFYZQ-3,1,19,0,W 4:30-9:30PM lab B2-106A; F 4:30-9:30PM lab TBA
Arch 147 THWX,1,23,0,T 9:30AM-12PM lab B2-106A; Th 9:30AM-12PM lab TBA
Arch 147 THWX-1,1,23,0,T 1-3:30PM lab B2-106; Th 1-3:30PM lab TBA
Arch 147 WFWX,1,25,0,T 9:30AM-12PM lab B2-106; Th 9:30AM-12PM lab TBA
Arch 162 WFU,1,23,0,W 10-11:30AM lec B2-102; F 10-11:30AM lec TBA
Arch 162 WFU-1,1,23,0,W 10-11:30AM lec B2-104; F 10-11:30AM lec TBA
Arch 162 WFU-2,1,23,0,W 10-11:30AM lec B2-104A; F 10-11:30AM lec TBA
Arch 162 WFU-3,1,23,0,F 10-11:30AM lec B2-101; W 10-11:30AM lec TBA
Arch 171 THWX,1,21,0,Th 1-4PM lab B2-104A; T 1-4PM lab TBA
Arch 171 THWX-1,1,21,0,Th 1-4PM lab B2-104; T 1-4PM lab TBA
Arch 171 THYZ,1,21,0,Th 1-4PM lab B2-105; T 1-4PM lab TBA
Arch 199.2 THYZQ,1,18,0,T 4:30-9:30PM lec B2-104; Th 4:30-9:30PM lec TBA
Arch 199.2 THYZQ-1,1,14,0,T 4:30-9:30PM lec B2-103; Th 4:30-9:30PM lec TBA
Arch 199.2 THYZQ-2,1,15,0,T 4:30-9:30PM lec B2-103A; Th 4:30-9:30PM lec TBA
Arch 199.2 THYZQ-3,1,14,0,T 4:30-9:30PM lec B2-102; Th 4:30-9:30PM lec TBA
Arch 199.2 THYZQ-4,1,14,0,T 4:30-9:30PM lec B2-104A; Th 4:30-9:30PM lec TBA
Archaeo 2 THR,1,25,0,TTh 8:30-10AM lec Classroom A
Archaeo 2 THU,1,25,0,TTh 10-11:30AM lec Classroom A
Archaeo 2 THW,1,25,0,TTh 1-2:30PM lec Classroom B
Archaeo 2 THX,1,25,0,TTh 2:30-4PM lec Classroom B
Archaeo 2 WFW,1,25,0,WF 1-2:30PM lec Classroom B
Archaeo 2 WFX,1,25,0,WF 2:30-4PM lec Classroom B
Archi 203 HOPQ,1,10,0,Th 6-9PM lec TBA
Archi 203 MOPQ,1,10,0,M 6-9PM lec B2-106
Archi 203 TOPQ,1,10,0,T 6-9PM lec B2-106
Archi 210 SWX,1,15,0,S 1-4PM lec B2-103
Archi 210 SWX-1,1,10,0,S 1-4PM lec B2-106
Archi 210 TOPQ,1,13,0,T 6:30-9:30PM lec B2-105
"Archi 211 MWOPQEnvironmental Landscapes: Alta Tierra (Comparative Study of the Living High Altitude Landscapes of Luzon, Philippines, and Bali, Indonesia",1,5,0,M 6-9PM lab B2-104; W 6-9PM lab TBA
"Archi 211 MWOPQ-1Environmental Landscapes: Alta Tierra (Comparative Study of the Living High Altitude Landscapes of Luzon, Philippines, and Bali, Indonesia",1,5,0,M 6-9PM lab B2-104; W 6-9PM lab TBA
"Archi 211 THOPQUrban Design:Resilient,Inclusive,Connected,&Healthy(RICH)Cities(Perceptual Placemaking:Creative Design Approaches through Lighting,Acoustics&Movement)",1,10,0,T 6-9PM lab B2-105A; Th 6-9PM lab TBA
"Archi 211 THOPQ-1History, Theory, & Criticism: Digital Collaborative Engagement (Sexuality, Space, & the Built Environment)",1,10,0,Th 6-9PM lab B2-103A; T 6-9PM lab TBA
"Archi 211 THOPQ-2Urban Design: Resilient, Inclusive, Connected and Healthy (RICH) Cities: Focus on Criteria Formulation and Development)",1,10,0,Th 6-9PM lab B2-104; T 6-9PM lab TBA
Archi 211 WFOPQBuilding Science: Configurating Building Science (Building Science and Aesthetics),1,10,0,W 6-9PM lab B2-104; F 6-9PM lab TBA
Archi 211 WFOPQ-1Tropical Design: Sustainability and Resiliency (Tropical Facades),1,10,0,W 6-9PM lab B2-103A; F 6-9PM lab TBA
Archi 233 WOPQ,1,10,0,W 6-9PM lec B2-104A
Archi 242 SOPQ,1,5,0,S 6-9PM lec B2-104
Archi 243 SWX,1,5,0,S 1-4PM lec B2-104
Archi 251 TOPQ,1,5,0,T 6-9PM lec B2-107 CAD Lab
Archi 254 WOPQ,1,5,0,W 6-9PM lec B2-107 CAD Lab
Archi 261 MOPQ,1,10,0,M 6-9PM lec B2-105
Archi 299 MOP,1,10,0,M 6-8PM seminar B2-101
Arkiyoloji 1 THW,1,25,0,TTh 1-2:30PM lec Classroom A
Arkiyoloji 1 THX,1,25,0,TTh 2:30-4PM lec Classroom A
Arkiyoloji 1 WFW,1,25,0,WF 1-2:30PM lec Classroom A
Arkiyoloji 1 WFX,1,25,0,WF 2:30-4PM lec Classroom A
Arkiyoloji 1 WFY,1,25,0,WF 4-5:30PM lec Classroom B
Arkiyoloji 1 WFZ,1,25,0,WF 5:30-7PM lec Classroom B
Art Stud 2 WFR,1,25,0,WF 8:30-10AM lec CAL 301
Art Stud 50 THR,1,20,0,TTh 8:30-10AM lec CAL 302
Art Stud 100 WFW,1,20,0,WF 1-2:30PM lec CAL 206
Art Stud 110 THR,1,15,0,TTh 8:30-10AM lec CAL 206
Art Stud 111 WFV,1,20,0,WF 11:30AM-1PM lec CAL 206
Art Stud 113 WFU,1,20,0,WF 10-11:30AM lec CAL 207
Art Stud 135 WFX,1,20,0,WF 2:30-4PM lec CAL 207
Art Stud 140 THY,1,25,0,TTh 4-5:30PM lec CAL 207
Art Stud 141 WFU,1,16,0,WF 10-11:30AM lec CAL 301
Art Stud 170 THV,1,20,0,TTh 11:30AM-1PM lec CAL 301
Art Stud 171 MJKL,1,20,0,M 2-5PM lec CAL 202
Art Stud 174 WFV,1,20,0,WF 11:30AM-1PM lec CAL 305
Art Stud 177 WFW,1,22,0,WF 1-2:30PM lec CAL 301
Art Stud 179 THX,1,20,0,TTh 2:30-4PM lec CAL 206
Art Stud 191 WFV,1,20,0,WF 11:30AM-1PM lec CAL 207
Art Stud 192 WFX,1,15,0,WF 2:30-4PM prac CAL 301
Art Stud 193 WFY,1,22,0,WF 4-5:30PM lec CAL 207
Art Stud 195 WFY,1,15,0,WF 4-5:30PM lec CAL 301
Art Stud 197 WFUProject Management in Culture and the Arts,1,20,0,WF 10-11:30AM lec CAL 302
Art Stud 199 FDEF,1,10,0,F 10AM-1PM lec TBA
Art Stud 200 THW,1,1,0,TTh 1-2:30PM thesis TBA
Art Stud 200 THW-1,1,1,0,TTh 1-2:30PM thesis TBA
Art Stud 200 TLMN,1,1,0,T 4-7PM thesis TBA
Art Stud 200 WFR,1,1,0,WF 8:30-10AM thesis TBA
Art Stud 200 WFV,1,1,0,WF 11:30AM-1PM thesis TBA
Art Stud 200 WFW,1,1,0,WF 1-2:30PM thesis TBA
Art Stud 200 WFW-1,1,1,0,WF 1-2:30PM thesis TBA
Art Stud 200 WFY,1,1,0,WF 4-5:30PM thesis TBA
Art Stud 210 FLMN,1,10,0,F 4-7PM lec CAL 206
Art Stud 213 WDEF,1,10,0,W 10AM-1PM lec TBA
Art Stud 240 TDEF,1,10,0,T 10AM-1PM lec TBA
Art Stud 250 SIJK,1,10,0,S 1-4PM lec TBA
Art Stud 270 WLMN,1,10,0,W 4-7PM lec TBA
Art Stud 281 HXY,1,10,0,Th 2:30-5:30PM lec CAL 301
Art Stud 282 WDEF,1,10,0,W 10AM-1PM lec TBA
Art Stud 286 WLMN,1,10,0,W 4-7PM lec TBA
Art Stud 299 FLMN,1,5,0,F 4-7PM lec TBA
Art Stud 300 WMNO,1,5,0,W 5-8PM thesis TBA
B 201 WYZ,1,5,0,W 4-7PM lec TBA
B Ind/Mal 12 TWHFR,1,10,0,TWThF 8:30-10AM lec TBA
B Ind/Mal 13 TWHFR,1,10,0,TWThF 8:30-10AM lec TBA
BA 99.1 THR,1,30,0,TTh 8:30-10AM lec BA 301
BA 99.2 THR,1,41,0,TTh 8:30-10AM lec TBA
BA 99.2 THR-1,1,45,0,TTh 8:30-10AM lec BA 309
BA 99.2 THU,1,42,0,TTh 10-11:30AM lec TBA
BA 99.2 THU-2,1,45,0,TTh 10-11:30AM lec BA 301
BA 99.2 THW,1,45,0,TTh 1-2:30PM lec BA 301
BA 99.2 WFV,1,44,0,WF 11:30AM-1PM lec TBA
BA 101 WFU-1,1,40,0,WF 10-11:30AM lec BA 104
BA 101 WFU-2,1,42,0,WF 10-11:30AM lec BA 301
BA 101 WFW,1,41,0,WF 1-2:30PM lec BA 301
BA 101 WFX,1,41,0,WF 2:30-4PM lec BA 301
BA 105 THW-1,1,40,0,TTh 1-2:30PM lec BA 306
BA 105 THW-2,1,40,0,TTh 1-2:30PM lec BA 210
BA 105 THX,1,40,0,TTh 2:30-4PM lec BA 307
BA 106 THU,1,36,0,TTh 10-11:30AM lec BA 304
BA 106 THX,1,36,0,TTh 2:30-4PM lec BA 304
BA 114.2 WFUV,1,35,0,WF 10AM-12:15PM lec BA 206
BA 114.2 WFWX-1,1,30,0,WF 1-3:15PM lec BA 307
BA 114.2 WFWX-2,1,30,0,WF 1-3:15PM lec BA 304
BA 115 THU,1,58,0,TTh 10-11:30AM lec BA 309
BA 115 THW,1,60,0,TTh 1-2:30PM lec BA 104
BA 117 THR,1,35,0,TTh 8:30-10AM lec BA 210
BA 117 THU,1,30,0,TTh 10-11:30AM lec BA 206
BA 117 WFU,1,34,0,WF 10-11:30AM lec BA 208
BA 118.1 THRV,1,33,0,TTh 9AM-12PM lec BA 212
BA 118.1 WFRV,1,30,0,WF 9AM-12PM lec BA 307
BA 118.1 WFWX,1,35,0,WF 1-4PM lec BA 210
BA 118.2 WFR,1,34,0,WF 8:30-10AM lec BA 208
BA 118.2 WFU,1,35,0,WF 10-11:30AM lec BA 210
BA 118.2 WFW,1,31,0,WF 1-2:30PM lec BA 309
BA 122.1 THU,1,35,0,TTh 10-11:30AM lec BA 210
BA 122.1 THW,1,35,0,TTh 1-2:30PM lec BA 307
BA 122.1 THX,1,35,0,TTh 2:30-4PM lec BA 212
BA 123 THRV,1,35,0,TTh 9AM-12PM lec BA 208
BA 123 THWX-1,1,35,0,TTh 1-4PM lec BA 206
BA 123 THWX-2,1,35,-1,TTh 1-4PM lec BA 309
BA 124 THZ,1,37,0,TTh 5:30-7PM lec BA 303
BA 124 WFR,1,35,0,WF 8:30-10AM lec BA 305
BA 126 THX,1,37,0,TTh 2:30-4PM lec BA 301
BA 126 THY,1,37,0,TTh 4-5:30PM lec BA 309
BA 126 WRV,1,35,-1,W 9AM-12PM lec BA 309
BA 128 THQ,1,35,-1,TTh 7-8:30AM lec BA 303
