Class Name,Class Type,Available,Demand,Schedule
Math 22 TWHFR-1,1724,18,66,WF 8:45-9:45AM lec MB 302; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-2,1724,18,56,WF 8:45-9:45AM lec MB 303; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-3,1724,18,71,WF 8:45-9:45AM lec MB 304; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-4,1724,18,56,WF 8:45-9:45AM lec MB 305; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-5,1724,19,63,WF 8:45-9:45AM lec MB 306; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-6,1724,18,69,WF 8:45-9:45AM lec MB 307; TTh 8:45-9:45AM lec TBA
Math 22 TWHFR-7,1724,18,45,WF 8:45-9:45AM lec MB 308; TTh 8:45-9:45AM lec TBA
Math 22 TWHFU,1724,20,61,WF 10:15-11:15AM lec MB 301; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-1,1724,20,62,WF 10:15-11:15AM lec MB 302; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-3,1724,20,67,WF 10:15-11:15AM lec MB 304; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-4,1724,20,62,WF 10:15-11:15AM lec MB 305; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-5,1724,20,66,WF 10:15-11:15AM lec MB 306; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-6,1724,20,54,WF 10:15-11:15AM lec MB 307; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-7,1724,20,52,WF 10:15-11:15AM lec MB 308; TTh 10:15-11:15AM lec TBA
Math 22 TWHFU-8,1724,20,61,WF 10:15-11:15AM lec MB 312; TTh 10:15-11:15AM lec TBA
Math 22 TWHFV,1724,20,54,WF 11:45AM-12:45PM lec MB 301; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-1,1724,20,73,WF 11:45AM-12:45PM lec MB 302; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-2,1724,19,53,WF 11:45AM-12:45PM lec MB 303; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-3,1724,19,68,WF 11:45AM-12:45PM lec MB 304; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-4,1724,20,57,WF 11:45AM-12:45PM lec MB 305; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-5,1724,19,49,WF 11:45AM-12:45PM lec MB 306; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFV-6,1724,20,57,WF 11:45AM-12:45PM lec MB 307; TTh 11:45AM-12:45PM lec TBA
Math 22 TWHFW,1724,20,40,WF 1:15-2:15PM lec MB 301; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-1,1724,20,69,WF 1:15-2:15PM lec MB 302; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-2,1724,20,74,WF 1:15-2:15PM lec MB 303; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-3,1724,20,75,WF 1:15-2:15PM lec MB 304; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-4,1724,20,63,WF 1:15-2:15PM lec MB 305; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-5,1724,21,62,WF 1:15-2:15PM lec MB 306; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-7,1724,20,68,WF 1:15-2:15PM lec MB 307; TTh 1:15-2:15PM lec TBA
Math 22 TWHFW-9,1724,20,52,WF 1:15-2:15PM lec MB 308; TTh 1:15-2:15PM lec TBA
Math 22 TWHFX,1724,19,55,WF 2:45-3:45PM lec MB 301; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-1,1724,19,80,WF 2:45-3:45PM lec MB 302; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-2,1724,18,46,WF 2:45-3:45PM lec MB 303; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-3,1724,18,66,WF 2:45-3:45PM lec MB 304; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-4,1724,20,71,WF 2:45-3:45PM lec MB 305; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-5,1724,19,59,WF 2:45-3:45PM lec MB 306; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-6,1724,17,48,WF 2:45-3:45PM lec MB 307; TTh 2:45-3:45PM lec TBA
Math 22 TWHFX-7,1724,19,37,WF 2:45-3:45PM lec MB 308; TTh 2:45-3:45PM lec TBA
Physics 72 THQ-FQ-1,2193,30,72,F 7-8AM disc NIP F207; TTh 7-8:30AM lec NIP F201
Physics 72 THQ-FQ-2,2193,30,120,F 7-8AM disc NIP F208; TTh 7-8:30AM lec NIP F202
Physics 72 THQ-WQ-1,2193,30,111,W 7-8AM disc NIP F207; TTh 7-8:30AM lec NIP F203
Physics 72 THQ-WQ-2,2193,30,110,W 7-8AM disc NIP F208; TTh 7-8:30AM lec NIP F204
Physics 72 THQ-WQ-3,2193,30,70,W 7-8AM disc NIP F209; TTh 7-8:30AM lec NIP F205
Physics 72 WFQ-HQ-1,2193,30,103,Th 7-8AM disc NIP F208; WF 7-8:30AM lec NIP F201
Physics 72 WFQ-HQ-2,2193,30,86,Th 7-8AM disc NIP F209; WF 7-8:30AM lec NIP F202
Physics 72 WFQ-HQ-3,2193,30,90,Th 7-8AM disc NIP F210; WF 7-8:30AM lec NIP F203
Physics 72 WFQ-TQ-1,2193,30,87,T 7-8AM disc NIP F208; WF 7-8:30AM lec NIP F204
Physics 72 WFQ-TQ-2,2193,30,100,T 7-8AM disc NIP F209; WF 7-8:30AM lec NIP F205
Physics 72 WFR-HR-1,2193,30,80,WF 8:30-10AM lec NIP F208; Th 8:45-9:45AM disc NIP F210
Physics 72 WFR-HR-2,2193,30,122,WF 8:30-10AM lec NIP F209; Th 8:45-9:45AM disc NIP F207
Physics 72 WFR-HR-3,2193,30,101,WF 8:30-10AM lec NIP F205; Th 8:45-9:45AM disc NIP F206
Physics 72 WFR-TR-1,2193,30,93,WF 8:30-10AM lec NIP F203; T 8:45-9:45AM disc NIP F210
Physics 72 WFR-TR-2,2193,30,112,WF 8:30-10AM lec NIP F204; T 8:45-9:45AM disc NIP F207
Physics 72 WFU-HU-1,2193,30,121,WF 10-11:30AM lec NIP F208; Th 10:15-11:15AM disc NIP F210
Physics 72 WFU-HU-2,2193,30,91,WF 10-11:30AM lec NIP F209; Th 10:15-11:15AM disc NIP F207
Physics 72 WFU-TU-1,2193,30,70,WF 10-11:30AM lec NIP F203; T 10:15-11:15AM disc NIP F210
Physics 72 WFU-TU-2,2193,30,90,WF 10-11:30AM lec NIP F204; T 10:15-11:15AM disc NIP F207
Physics 72 WFV-HV-1,2193,30,69,WF 11:30AM-1PM lec NIP F208; Th 11:45AM-12:45PM disc NIP F210
Physics 72 WFV-HV-2,2193,30,140,WF 11:30AM-1PM lec NIP F209; Th 11:45AM-12:45PM disc NIP F207
Physics 72 WFV-TV-1,2193,30,94,WF 11:30AM-1PM lec NIP F203; T 11:45AM-12:45PM disc NIP F210
Physics 72 WFV-TV-2,2193,30,86,WF 11:30AM-1PM lec NIP F204; T 11:45AM-12:45PM disc NIP F207
Physics 72 WFV-TV-3,2193,30,100,WF 11:30AM-1PM lec NIP F205; T 11:45AM-12:45PM disc NIP F205
Physics 72 WFW-HW-1,2193,30,111,WF 1-2:30PM lec NIP F208; Th 1:15-2:15PM disc NIP F210
Physics 72 WFW-HW-2,2193,30,87,WF 1-2:30PM lec NIP F209; Th 1:15-2:15PM disc NIP F207
Physics 72 WFW-HW-3,2193,30,89,WF 1-2:30PM lec NIP F201; Th 1:15-2:15PM disc NIP F206
Physics 72 WFW-TW-1,2193,30,105,WF 1-2:30PM lec NIP F203; T 1:15-2:15PM disc NIP F210
Physics 72 WFW-TW-2,2193,30,80,WF 1-2:30PM lec NIP F204; T 1:15-2:15PM disc NIP F207
Physics 72 WFW-TW-3,2193,30,72,WF 1-2:30PM lec NIP F202; T 1:15-2:15PM disc NIP F206
Physics 72 WFX-HX-1,2193,30,64,WF 2:30-4PM lec NIP F208; Th 2:45-3:45PM disc NIP F210
Physics 72 WFX-HX-2,2193,30,67,WF 2:30-4PM lec NIP F209; Th 2:45-3:45PM disc NIP F207
Physics 72 WFX-TX-1,2193,30,96,WF 2:30-4PM lec NIP F203; T 2:45-3:45PM disc NIP F210
Physics 72 WFX-TX-2,2193,30,99,WF 2:30-4PM lec NIP F204; T 2:45-3:45PM disc NIP F207
Physics 72 WFX-TX-3,2193,30,95,WF 2:30-4PM lec NIP F205; T 2:45-3:45PM disc NIP F205
Speech 30 THQ,2434,28,82,TTh 7-8:30AM lec PH 1227-1228
Speech 30 THQ-1,2434,28,67,TTh 7-8:30AM lec PH 1227-1228
Speech 30 THQ-2,2434,28,68,TTh 7-8:30AM lec PH 1229-1230
Speech 30 THQ-3,2434,28,63,TTh 7-8:30AM lec PH 1231-1232
Speech 30 THR,2434,28,88,TTh 8:30-10AM lec PH 1227-1228
Speech 30 THR-1,2434,28,99,TTh 8:30-10AM lec PH 1227-1228
Speech 30 THR-2,2434,28,81,TTh 8:30-10AM lec PH 1229-1230
Speech 30 THR-3,2434,28,93,TTh 8:30-10AM lec PH 1229-1230
Speech 30 THR-4,2434,29,74,TTh 8:30-10AM lec PH 1231-1232
Speech 30 THU,2434,28,86,TTh 10-11:30AM lec PH 1227-1228
Speech 30 THU-1,2434,28,60,TTh 10-11:30AM lec PH 1229-1230
Speech 30 THU-2,2434,28,97,TTh 10-11:30AM lec PH 1231-1232
Speech 30 THU-3,2434,28,86,TTh 10-11:30AM lec PH 1229-1230
Speech 30 THV,2434,29,96,TTh 11:30AM-1PM lec PH 1229-1230
Speech 30 THV-1,2434,28,82,TTh 11:30AM-1PM lec PH 1227-1228
Speech 30 THV-2,2434,28,94,TTh 11:30AM-1PM lec TBA
Speech 30 THV-3,2434,28,84,TTh 11:30AM-1PM lec PH 1227-1228
Speech 30 THW,2434,28,79,TTh 1-2:30PM lec PH 1227-1228
Speech 30 THW-2,2434,28,112,TTh 1-2:30PM lec PH 1227-1228
Speech 30 THX,2434,28,94,TTh 2:30-4PM lec PH 1229-1230
Speech 30 THX-1,2434,28,87,TTh 2:30-4PM lec PH 1227-1228
Speech 30 THX-2,2434,28,88,TTh 2:30-4PM lec PH 1229-1230
Speech 30 THY,2434,28,89,TTh 4-5:30PM lec PH 1231-1232
Speech 30 THY-1,2434,28,100,TTh 4-5:30PM lec PH 1229-1230
Speech 30 THY-2,2434,28,89,TTh 4-5:30PM lec PH 1229-1230
Speech 30 THZ,2434,28,90,TTh 5:30-7PM lec PH 1231-1232
Speech 30 THZ-1,2434,29,70,TTh 5:30-7PM lec PH 1229-1230
Speech 30 WFQ,2434,28,70,WF 7-8:30AM lec PH 1227-1228
Speech 30 WFQ-1,2434,28,84,WF 7-8:30AM lec PH 1229-1230
Speech 30 WFQ-2,2434,28,64,WF 7-8:30AM lec PH 3213-3215
Speech 30 WFQ-3,2434,28,111,WF 7-8:30AM lec PH 1227-1228
Speech 30 WFR,2434,28,119,WF 8:30-10AM lec PH 1227-1228
Speech 30 WFR-1,2434,28,91,WF 8:30-10AM lec PH 3213-3215
Speech 30 WFR-2,2434,28,65,WF 8:30-10AM lec PH 1227-1228
Speech 30 WFR-3,2434,28,73,WF 8:30-10AM lec PH 1229-1230
Speech 30 WFR-4,2434,28,85,WF 8:30-10AM lec PH 1231-1232
Speech 30 WFR-5,2434,28,91,WF 8:30-10AM lec PH 1229-1230
Speech 30 WFU,2434,28,68,WF 10-11:30AM lec PH 1229-1230
Speech 30 WFU-1,2434,28,74,WF 10-11:30AM lec PH 1231-1232
Speech 30 WFV,2434,28,96,WF 11:30AM-1PM lec PH 1229-1230
Speech 30 WFV-1,2434,28,80,WF 11:30AM-1PM lec PH 1231-1232
Speech 30 WFV-2,2434,28,64,WF 11:30AM-1PM lec PH 3213-3215
Speech 30 WFV-3,2434,28,75,WF 11:30AM-1PM lec PH 3213-3215
Speech 30 WFW,2434,28,86,WF 1-2:30PM lec PH 1229-1230
Speech 30 WFW-1,2434,28,77,WF 1-2:30PM lec PH 1231-1232
Speech 30 WFW-2,2434,28,85,WF 1-2:30PM lec PH 1231-1232
Speech 30 WFX,2434,28,98,WF 2:30-4PM lec PH 1227-1228
Speech 30 WFX-1,2434,28,77,WF 2:30-4PM lec PH 1229-1230
Speech 30 WFX-2,2434,28,93,WF 2:30-4PM lec PH 1227-1228
Speech 30 WFX-3,2434,28,75,WF 2:30-4PM lec PH 3213-3215
Speech 30 WFX-4,2434,30,65,WF 2:30-4PM lec PH 1229-1230
Speech 30 WFX-5,2434,28,73,WF 2:30-4PM lec PH 1231-1232
Speech 30 WFY,2434,28,69,WF 4-5:30PM lec PH 3213-3215
Speech 30 WFY-1,2434,28,80,WF 4-5:30PM lec PH 1231-1232
Speech 30 WFZ,2434,28,78,WF 5:30-7PM lec PH 3213-3215
Speech 30 WFZ-1,2434,28,104,WF 5:30-7PM lec PH 1227-1228
